+--------+----------+------------------------+-------------------+
| d_year | brand_id | brand                  | sum_agg           |
+--------+----------+------------------------+-------------------+
| 1998   | 1001001  | amalgamalg #1          | 874498.7300000002 |
| 1998   | 2001001  | amalgimporto #1        | 788248.4299999997 |
| 1998   | 4004001  | edu packedu pack #1    | 780385.7899999991 |
| 1998   | 5003001  | exportischolar #1      | 730077.6399999995 |
| 1998   | 3003001  | exportiexporti #1      | 661233.1599999999 |
| 1998   | 4002001  | importoedu pack #1     | 634976.6399999999 |
| 1998   | 1003001  | exportiamalg #1        | 608267.53         |
| 1998   | 3004002  | edu packexporti #2     | 571178.4099999995 |
| 1998   | 3001001  | amalgexporti #1        | 528525.1999999997 |
| 1998   | 2001002  | amalgimporto #2        | 505883.4999999999 |
| 1998   | 2004001  | edu packimporto #1     | 461245.7799999999 |
| 1998   | 3002002  | importoexporti #2      | 443059.3200000001 |
| 1998   | 5002001  | importoscholar #1      | 429973.66         |
| 1998   | 3001002  | amalgexporti #2        | 421790.8799999998 |
| 1998   | 3004001  | edu packexporti #1     | 416338.3199999997 |
| 1998   | 5004002  | edu packscholar #2     | 388458.4199999999 |
| 1998   | 1002001  | importoamalg #1        | 374698.9899999998 |
| 1998   | 1004001  | edu packamalg #1       | 328005.9699999999 |
| 1998   | 2002002  | importoimporto #2      | 327681.4999999999 |
| 1998   | 5002002  | importoscholar #2      | 312689.2399999999 |
| 1998   | 10003008 | exportiunivamalg #8    | 309876.7200000001 |
| 1998   | 4001002  | amalgedu pack #2       | 303522.5900000001 |
| 1998   | 4003001  | exportiedu pack #1     | 298340.8199999999 |
| 1998   | 6007001  | brandcorp #1           | 267534.78         |
| 1998   | NULL     | NULL                   | 264835.64         |
| 1998   | 5001002  | amalgscholar #2        | 263747.54         |
| 1998   | 2002001  | importoimporto #1      | 252051.9399999999 |
| 1998   | 9003009  | exportimaxi #9         | 236509.88         |
| 1998   | 1002002  | importoamalg #2        | 222084.4000000001 |
| 1998   | 6014001  | edu packbrand #1       | 209398.7100000001 |
| 1998   | 8016009  | corpmaxi #9            | 208007.82         |
| 1998   | 7013009  | exportinameless #9     | 204643.04         |
| 1998   | 10005013 | scholarunivamalg #13   | 201490.4199999999 |
| 1998   | 7004009  | edu packbrand #9       | 200716.2          |
| 1998   | 10005014 | scholarunivamalg #14   | 193802.86         |
| 1998   | 7006005  | corpbrand #5           | 192494.2499999999 |
| 1998   | 7016007  | corpnameless #7        | 188171.87         |
| 1998   | 10008013 | namelessunivamalg #13  | 187760.79         |
| 1998   | 10014006 | edu packamalgamalg #6  | 185218.05         |
| 1998   | 9016002  | corpunivamalg #2       | 183698.81         |
| 1998   | 7010002  | univnameless #2        | 182946.02         |
| 1998   | 4002002  | importoedu pack #2     | 181388.5          |
| 1998   | 6011005  | amalgbrand #5          | 180342.92         |
| 1998   | 10003012 | exportiunivamalg #12   | 177509.01         |
| 1998   | 6006002  | corpcorp #2            | 177394.4099999999 |
| 1998   | 6009004  | maxicorp #4            | 177022.15         |
| 1998   | 7001005  | amalgbrand #5          | 172901.0600000001 |
| 1998   | 9008008  | namelessmaxi #8        | 171428.4          |
| 1998   | 10014017 | edu packamalgamalg #17 | 170976.9600000001 |
| 1998   | 10012017 | importoamalgamalg #17  | 166919.92         |
| 1998   | 7015008  | scholarnameless #8     | 160149.54         |
| 1998   | 8004005  | edu packnameless #5    | 159820.67         |
| 1998   | 10011002 | amalgamalgamalg #2     | 159767.17         |
| 1998   | 10008003 | namelessunivamalg #3   | 158774.46         |
| 1998   | 10010014 | univamalgamalg #14     | 158583.3100000001 |
| 1998   | 10007014 | brandunivamalg #14     | 158557.51         |
| 1998   | 10015015 | scholaramalgamalg #15  | 157595.0000000001 |
| 1998   | 4004002  | edu packedu pack #2    | 156689.68         |
| 1998   | 8005004  | scholarnameless #4     | 155988.5          |
| 1998   | 6005003  | scholarcorp #3         | 155985.7500000001 |
| 1998   | 10008011 | namelessunivamalg #11  | 155815.63         |
| 1998   | 8013009  | exportimaxi #9         | 155011.41         |
| 1998   | 6013008  | exportibrand #8        | 154981.55         |
| 1998   | 10010011 | univamalgamalg #11     | 153586.53         |
| 1998   | 6016007  | corpbrand #7           | 152635.68         |
| 1998   | 7016006  | corpnameless #6        | 151850.78         |
| 1998   | 6001004  | amalgcorp #4           | 151593.57         |
| 1998   | 8008003  | namelessnameless #3    | 151538.44         |
| 1998   | 1003002  | exportiamalg #2        | 148330.42         |
| 1998   | 7013005  | exportinameless #5     | 148033.01         |
| 1998   | 6008007  | namelesscorp #7        | 147174.81         |
| 1998   | 10009004 | maxiunivamalg #4       | 146155.6199999999 |
| 1998   | 7004001  | edu packbrand #1       | 145840.74         |
| 1998   | 7014004  | edu packnameless #4    | 145773.31         |
| 1998   | 8006004  | corpnameless #4        | 145500.21         |
| 1998   | 10013005 | exportiamalgamalg #5   | 145240            |
| 1998   | 9009002  | maximaxi #2            | 145127.4          |
| 1998   | 8009010  | maxinameless #10       | 144525.48         |
| 1998   | 7004005  | edu packbrand #5       | 144070.64         |
| 1998   | 10010002 | univamalgamalg #2      | 142496.5399999999 |
| 1998   | 7015007  | scholarnameless #7     | 141668.74         |
| 1998   | 9012008  | importounivamalg #8    | 141261.3          |
| 1998   | 7016003  | corpnameless #3        | 140895.77         |
| 1998   | 6007005  | brandcorp #5           | 140271.18         |
| 1998   | 8007005  | brandnameless #5       | 140225.23         |
| 1998   | 4003002  | exportiedu pack #2     | 139481.59         |
| 1998   | 1001002  | amalgamalg #2          | 139258.49         |
| 1998   | 8005006  | scholarnameless #6     | 137314.95         |
| 1998   | 9008005  | namelessmaxi #5        | 137064.67         |
| 1998   | 6006003  | corpcorp #3            | 133969.54         |
| 1998   | 9006002  | corpmaxi #2            | 132570.91         |
| 1998   | 8014001  | edu packmaxi #1        | 131876.85         |
| 1998   | 9012003  | importounivamalg #3    | 131131.73         |
| 1998   | 7006001  | corpbrand #1           | 129812.61         |
| 1998   | 6006004  | corpcorp #4            | 129544.9          |
| 1998   | 1004002  | edu packamalg #2       | 128722.56         |
| 1998   | 5003002  | exportischolar #2      | 124879.18         |
| 1998   | 10009014 | maxiunivamalg #14      | 124789.41         |
| 1998   | 10002015 | importounivamalg #15   | 124662.55         |
| 1998   | 9002005  | importomaxi #5         | 124633.2          |
+--------+----------+------------------------+-------------------+
