+-------------+-----------+--------------------+--------------+----------------+-------+--------------------+
| i_category  | i_class   | i_brand            | s_store_name | s_company_name | d_moy | sum_sales          |
+-------------+-----------+--------------------+--------------+----------------+-------+--------------------+
| Electronics | musical   | corpunivamalg #15  | able         | NULL           | 1     | 0                  |
| Shoes       | womens    | NULL               | n st         | Unknown        | 5     | 0                  |
| Electronics | musical   | NULL               | able         | NULL           | 9     | 0.03               |
| Shoes       | womens    | NULL               | NULL         | Unknown        | 9     | 0.16               |
| Men         | pants     | NULL               | pri          | Unknown        | 5     | 0.38               |
| Home        | wallpaper | NULL               | NULL         | Unknown        | 11    | 0.45               |
| Books       | parenting | NULL               | pri          | Unknown        | 6     | 0.55               |
| Books       | parenting | corpmaxi #11       | ese          | NULL           | 1     | 0.82               |
| Jewelry     | birdal    | NULL               | pri          | Unknown        | 6     | 0.9299999999999999 |
| Shoes       | womens    | NULL               | NULL         | Unknown        | 3     | 1.01               |
| Jewelry     | birdal    | amalgcorp #1       | able         | NULL           | 4     | 1.32               |
| Men         | pants     | NULL               | ese          | Unknown        | 3     | 1.32               |
| Jewelry     | birdal    | NULL               | ought        | Unknown        | 1     | 1.32               |
| Electronics | musical   | corpunivamalg #12  | ese          | NULL           | 5     | 1.39               |
| Home        | wallpaper | NULL               | ought        | Unknown        | 7     | 1.42               |
| Electronics | musical   | corpunivamalg #15  | able         | NULL           | 5     | 1.81               |
| Electronics | musical   | corpunivamalg #7   | ese          | NULL           | 5     | 2.14               |
| Home        | wallpaper | exportinameless #6 | ese          | NULL           | 3     | 2.53               |
| Men         | pants     | NULL               | n st         | Unknown        | 4     | 2.66               |
| Men         | pants     | NULL               | n st         | Unknown        | 6     | 2.76               |
| Electronics | musical   | corpunivamalg #14  | able         | NULL           | 2     | 2.89               |
| Jewelry     | birdal    | amalgcorp #3       | able         | NULL           | 6     | 2.95               |
| Books       | parenting | NULL               | ese          | Unknown        | 4     | 2.97               |
| Home        | wallpaper | exportinameless #1 | able         | NULL           | 4     | 3.2                |
| Electronics | musical   | corpunivamalg #1   | able         | NULL           | 7     | 3.41               |
| Electronics | musical   | corpunivamalg #10  | ese          | NULL           | 4     | 4.05               |
| Men         | pants     | NULL               | able         | Unknown        | 4     | 4.19               |
| Books       | parenting | NULL               | anti         | Unknown        | 6     | 4.23               |
| Electronics | musical   | corpunivamalg #1   | able         | NULL           | 9     | 4.51               |
| Electronics | musical   | corpunivamalg #9   | able         | NULL           | 1     | 4.68               |
