+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------+--------------------+-------------------+
| i_item_desc                                                                                                                                                                                              | i_category | i_class | i_current_price    | itemrevenue       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------+--------------------+-------------------+
| Totally scottish needs depend besides as a forms. Modern, other children enable less easily red sons. For instance economic buildings should not accept small, secret parties. Joint, poor               | Books      | arts    | 3.81               | 40150.06999999999 |
| Perhaps old ships will give more. Main poets describe less than. Right, brief words work long ago maj                                                                                                    | Books      | arts    | 1.05               | 62104.11          |
| Windows determine now heavy alternatives; free months could not sit in the levels. Financial, small problems can expect certainly at all elderly hands. Mere, complete sport                             | Books      | arts    | 3.14               | 51940.57          |
| At all small opportunities seem over                                                                                                                                                                     | Books      | arts    | 4.7                | 44240.85          |
| Conditions shall occur once again after a products; agricultural, public walls give now a little public sides. Still alternative seats                                                                   | Books      | arts    | 6.5                | 30638.88999999999 |
| Complete roses get quickly in a women. Legislative patients will not manage right                                                                                                                        | Books      | arts    | 1.68               | 56543.21999999999 |
| No longer soft cameras mean select, small policies. Also famous arms could want irish, different connections. Attacks should remove black r                                                              | Books      | arts    | 1.52               | 50706.12          |
| Now pleased representations used to require then hundreds; naturally modest computers apply only. Children m                                                                                             | Books      | arts    | 4.93               | 48088.59999999999 |
| Reports take more welsh c                                                                                                                                                                                | Books      | arts    | 2.69               | 21564.66          |
| Traditional years get other reasons                                                                                                                                                                      | Books      | arts    | 7.22               | 49475.88          |
| Far particular products turn specif                                                                                                                                                                      | Books      | arts    | 3.41               | 38204.62          |
| Light tears overcome real, vulnerable clothes. Serious, recent dates s                                                                                                                                   | Books      | arts    | 1.88               | 39555.14          |
| Carefully private markets could inquire. Sideways new object                                                                                                                                             | Books      | arts    | 1.5                | 30844.95          |
| Here elderly units ignore; eyes may reach others. Products include again. Extra, expected ministers look for example. Friendly ears give in a products. Results g                                        | Books      | arts    | 9.1                | 47357.33          |
| Urban, able cells hear; pieces like alwa                                                                                                                                                                 | Books      | arts    | 7.36               | 44333.95          |
| Everyday words may respond as virtually new years. Vegetables can embark left just professional contents. Only, mari                                                                                     | Books      | arts    | 4.78               | 54982.79000000001 |
| Results mix both; nearby, contrary workers store. Members suspend previously. Then permanent efforts date only familiar pie                                                                              | Books      | arts    | 1.93               | 47389.02          |
| Low, productive standards may not invest to a attitudes. Other, little winners might stimulate fr                                                                                                        | Books      | arts    | 1.34               | 31291.38          |
| Units strengthen; facilities would admit there as social fortunes. Also old priorities would grow; films target around by a rights. Steadily other pr                                                    | Books      | arts    | 1.83               | 36428.7           |
| Irrelevant, only countries get as well wild clients. Words unload other circumstances. Now upper conditions mention later. Already possible days take able, live                                         | Books      | arts    | 2.62               | 43907.68000000001 |
| Interests move only different, warm bodies; about chief systems would work much. Perhaps great forms must appoint in order men. Patients may not pass available, physical centres. Hap                   | Books      | arts    | 7                  | 58243.84          |
| Broken sales must not know relatively like the eyes. Parents may not wash                                                                                                                                | Books      | arts    | 5.97               | 47370.61          |
| Regional,                                                                                                                                                                                                | Books      | arts    | 8.32               | 45200.08          |
| Optio                                                                                                                                                                                                    | Books      | arts    | 2.49               | 44852.43          |
| Years come inevitably so past animals. Silly reactions enrich even through a parties. Major, early students used to see all.                                                                             | Books      | arts    | 8.619999999999999  | 43538.39          |
| Sometimes                                                                                                                                                                                                | Books      | arts    | 9.699999999999999  | 84496.08          |
| Public, quiet sons call. Responses may wish entirely to a hands.                                                                                                                                         | Books      | arts    | 0.51               | 34561.67          |
| National, upper principles fill relatives. Components make. Rarely unusual plants might not deal                                                                                                         | Books      | arts    | 7.27               | 27373.13          |
| Residential questions mean closely very possible aspirations. Human, dead miles can exploit nor                                                                                                          | Books      | arts    | 5.54               | 50984.32000000001 |
| Main, spatial results must draw here probable dishes. Terrible, average churches c                                                                                                                       | Books      | arts    | 9.67               | 70662.51999999999 |
| Badly difficult intervals should not get today new followers. Standards examine. Young, actual departments might knock special, national assumptions. Successful wi                                      | Books      | arts    | 0.29               | 60397.75999999999 |
| Frequent, late lights should master other farmers; economic, other buildings complete automatically reliable patterns; authorities hold pric                                                             | Books      | arts    | 2.46               | 65716.83          |
| Fairly italian teeth ought to                                                                                                                                                                            | Books      | arts    | 4.38               | 61526.69          |
| Statistical elections ought to help men. Following, present changes will find dark services. Victims                                                                                                     | Books      | arts    | 2.2                | 23343.71          |
